,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
260,260,1.95106941,0.556695123,0.991045042,1.811994375,0.786573328,2.140121981,0.952107047,3011,0.258156845
261,261,1.292736625,1.327428103,0.994417964,7.880681577,3.513572043,0.587551836,0.998504965,3012,0.89656378
262,262,1.38338583,1.471150691,0.997498354,7.771794244,3.337932988,0.759329002,0.998351882,3013,0.890521294
263,263,1.506534709,0.559061312,0.995539379,2.577711973,1.098044809,0.990932531,0.984472509,3014,0.411234389
272,272,2.914189484,0.87737442,0.917211683,1.933452708,2.019215585,-28205152.77,-2.46E-08,3023,0.286333554
273,273,2.370198367,0.910111736,0.943625784,2.404364626,4.31470876,0.158757434,0.995491244,3024,0.38100033
274,274,2.288550835,0.571874175,0.958321797,1.564077343,2.791186262,0.158636909,0.997987855,3027,0.194258225
275,275,1.928250752,0.387975235,0.983309623,1.280586017,2.747143689,0.099340779,0.997430978,3028,0.107408755
276,276,1.831084406,0.315011484,0.981597685,1.107773207,2.905555127,0.070407687,0.997940504,3029,0.044450857
277,277,2.115501061,1.792917512,0.994946187,5.324288269,8.668136609,0.196849067,0.98700802,3030,0.726261561
278,278,1.748778034,1.254313801,0.997152299,4.679872923,9.899043203,0.102450199,0.993462543,3031,0.67023406
279,279,2.376825792,1.464507643,0.990507621,3.858520721,5.69076712,0.257593883,0.97946368,3032,0.586420837
280,280,2.56155682,1.481134489,0.990958559,3.639000267,5.145705229,0.289225708,0.979280575,3033,0.560982087
281,281,2.019432107,1.180124758,0.993601262,3.690767106,4.675555602,0.291747176,0.99392648,3034,0.567116641
282,282,1.979614555,1.098172293,0.993844121,3.514142141,4.683871213,0.25363668,0.995375132,3035,0.545819324
283,283,1.750583301,0.857703814,0.993969227,3.195769966,4.714749746,0.185351569,0.998314946,3036,0.504575511
284,284,1.773995563,0.803531561,0.995279168,2.942403359,4.272589794,0.193126408,0.996885838,3037,0.468702208
285,285,1.602262345,0.624311106,0.995631571,2.627353928,4.319871999,0.141366477,0.998835263,3038,0.41951858
286,286,1.705554558,0.620767937,0.99510826,2.394687451,3.733571931,0.162003423,0.998393692,3039,0.379248838
287,287,1.377372551,1.931226666,0.996234236,10.27668951,4.004436835,0.877346079,0.998565027,3040,1.011853235
288,288,1.266740598,1.929107156,0.998901806,11.87911152,5.530269364,0.521373839,0.998298792,3041,1.07478396
289,289,1.272506631,1.100739803,0.99676749,6.722567828,3.373856122,0.477227479,0.993975085,3042,0.827535193
290,290,1.51518603,2.28298607,0.995895354,10.43489846,4.179862254,1.130015727,0.998757912,3043,1.018488227
291,291,1.400245342,2.277719583,0.996635138,11.79399169,4.890424694,0.832820138,0.997968174,3044,1.071660818
292,292,1.301190522,1.392831722,0.997317532,8.173830215,3.756790145,0.57405802,0.995849007,3045,0.912425612
293,293,1.331507054,1.588699442,0.998970032,8.955099875,3.859577184,0.674098919,0.998833909,3046,0.952070434
294,294,1.19814804,1.643437378,0.998377981,11.22986577,5.98345741,0.371759552,0.998040258,3047,1.050374565
295,295,1.257155236,0.872048626,0.987734741,5.444868741,2.938903444,0.418216861,0.980191106,3048,0.735987415
296,296,2.190586324,0.957176559,0.969705394,2.738361886,3.997844814,-44125054.93,-6.99E-09,3049,0.437490841
