,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
989,,232,Co-NDPC-800,Ethane,0,0,0,0,0.3904,0.492,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.015973001,0.705494878,2415,-4.136855421,-0.348855768,3.787999653,E&E,,5.486618914,0.42561105,0.98981924
1002,,245,Co-NDPC-800,Propane,0,0,0,0,0.5312,1.05,1187,1.06,0.54,0.52,82.44,11.25,6.31,298,0.004214931,1.740551741,2416,-5.469122105,0.554202156,6.02332426,E&E,,6.423798515,0.205602835,0.965500396
1018,,279,Co-NDPC-900,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.026926648,0.6589071,2417,-3.614638847,-0.417172726,3.197466121,E&E,,6.075248546,0.536680477,0.996889584
1029,,290,Co-NDPC-900,Ethane,0,0,0,0,0.3904,0.492,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.019498607,0.758856443,2418,-3.937412239,-0.275942659,3.661469581,E&E,,5.975367477,0.431735465,0.988393899
1041,,302,Co-NDPC-900,Propane,0,0,0,0,0.5312,1.05,1168,1.13,0.62,0.51,77.53,19.12,3.35,298,0.009285051,1.697784918,2419,-4.679349584,0.529324412,5.208673996,E&E,,7.266017946,0.222613292,0.957581957
1057,,338,Co-NDPC-500,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.012302655,0.590574844,2420,-4.397940203,-0.526658904,3.871281299,E&E,,4.072639271,0.393990503,0.996120058
1069,,350,Co-NDPC-500,Ethane,0,0,0,0,0.3904,0.492,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.016328699,0.418843896,2421,-4.114831028,-0.870256991,3.244574037,E&E,,3.102059921,0.397706145,0.986505743
1081,,362,Co-NDPC-500,Propane,0,0,0,0,0.5312,1.05,720,0.64,0.31,0.33,67.3,21.18,11.52,273,0.004253355,0.947772985,2422,-5.460047214,-0.053640272,5.406406942,E&E,,3.78584616,0.193132945,0.95561432
1098,,403,Co-NDPC-600,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.019533591,1.541991228,2423,-3.935619701,0.433074586,4.368694288,E&E,,8.178074777,0.344204933,0.985644313
1111,,416,Co-NDPC-600,Ethane,0,0,0,0,0.3904,0.492,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.007723558,1.250497328,2424,-4.863480173,0.223541334,5.087021507,E&E,,7.214912258,0.287109797,0.973064521
1125,,430,Co-NDPC-600,Propane,0,0,0,0,0.5312,1.05,911,0.54,0.1,0.44,70.06,18.2,11.74,273,0.009569063,2.294525801,2425,-4.649220027,0.8305262,5.479746227,E&E,,5.871983117,0.148587842,0.947243172
1139,,467,Co-NDPC-700,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.013157895,1.364672238,2426,-4.33073334,0.310914281,4.641647621,E&E,,8.15165115,0.355988713,0.990767303
1150,,478,Co-NDPC-700,Ethane,0,0,0,0,0.3904,0.492,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.006578947,0.918815197,2427,-5.023880521,-0.084670268,4.939210252,E&E,,6.635590332,0.299065118,0.971583955
1162,,490,Co-NDPC-700,Propane,0,0,0,0,0.5312,1.05,1149,1.58,1.12,0.46,74.99,14.15,10.86,273,0.006578947,3.378274656,2428,-5.023880521,1.217365122,6.241245643,E&E,,7.794509927,0.134361974,0.963299444
1176,,527,Co-NDPC-800,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.02072128,1.231528134,2429,-3.876594075,0.208255784,4.084849859,E&E,,7.995528052,0.410585064,0.99137078
1190,,541,Co-NDPC-800,Ethane,0,0,0,0,0.3904,0.492,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.014197218,0.95346885,2430,-4.254709236,-0.047648524,4.207060712,E&E,,6.882693311,0.341259464,0.96765923
1205,,556,Co-NDPC-800,Propane,0,0,0,0,0.5312,1.05,1187,1.06,0.54,0.52,82.44,11.25,6.31,273,0.010100215,2.63564232,2431,-4.595198607,0.969126917,5.564325524,E&E,,6.657502835,0.146502029,0.937740422
1220,,591,Co-NDPC-900,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.017857143,1.199714886,2432,-4.025351691,0.182083934,4.207435624,E&E,,8.740604972,0.426234626,0.993867821
1232,,603,Co-NDPC-900,Ethane,0,0,0,0,0.3904,0.492,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.009453782,1.38554922,2433,-4.661340457,0.32609661,4.987437067,E&E,,7.499694067,0.320452249,0.987850136
1245,,616,Co-NDPC-900,Propane,0,0,0,0,0.5312,1.05,1168,1.13,0.62,0.51,77.53,19.12,3.35,273,0.007352941,2.685579232,2434,-4.912654886,0.987896433,5.900551319,E&E,,7.801021776,0.157864198,0.934167824
1260,10,0,G-BAG-G70-R,cyclopentane,0.26,0.1,0,0,0.7045,2.477,1339,0.536,0.16616,0.36984,,,,303,0.00182369,2.476795328,2435,-6.306893482,0.906965518,7.213859,E&E,,5.941153959,0.105008723,0.861819336
1269,,12,A-BAG-SP,cyclopentane,0.26,0.1,0,0,0.7045,2.477,1317,0.519,0.15051,0.36849,,,,303,0.004006919,3.161512963,2436,-5.519732578,1.151050699,6.670783277,E&E,,5.324243223,0.072933446,0.908189072
1279,,38,Chem-D,cyclopentane,0.26,0.1,0,0,0.7045,2.477,878,0.466,0.26562,0.20038,,,,303,0.006483268,1.85119457,2438,-5.038530624,0.615831144,5.654361768,E&E,,4.278551925,0.163172943,0.990674134
1292,11,0,HPC800-0.5,Propane,0,0,0,0,0.5312,1.05,3328,2.347,1.674,0.673,,4.68,0.77,298,0.023668639,1.74336279,2439,-3.743604354,0.555815886,4.29942024,E&E,,12.33408563,0.445773628,0.993739923
1302,,10,,Ethane,0,0,0,0,0.3904,0.492,3328,2.347,1.674,0.673,,4.68,0.77,298,0.019723866,0.365017864,2440,-3.925925911,-1.007808985,2.918116926,E&E,,6.775157351,0.685106494,0.999066048
1310,,25,HPC800-1.0,Propane,0,0,0,0,0.5312,1.05,3131,2.202,1.565,0.637,,5.63,1.72,298,0.012512584,1.194312796,2441,-4.381020434,0.177570954,4.558591388,E&E,,10.9713454,0.437079578,0.993012393
1322,,37,,Ethane,0,0,0,0,0.3904,0.492,3131,2.202,1.565,0.637,,5.63,1.72,298,0.021313224,0.312796209,2442,-3.848427567,-1.162203391,2.686224176,E&E,,5.706478269,0.712817477,0.999158595
