,E,S,A,B,V,L,BET,Vt,Temp(K),K,n,Vmic
315,0,0.28,0.05,0.1,0.2809,0.058,1940.0,0.97,273.0,5.929850529188623,0.6898559217012432,0.82
316,0,0.28,0.05,0.1,0.2809,0.058,1940.0,0.97,298.0,3.934979556397475,0.7761094386846045,0.82
317,0,0.28,0.05,0.1,0.2809,0.058,1940.0,0.97,323.0,3.0571518498744776,1.0454667159182105,0.82
360,0,0.28,0.05,0.1,0.2809,0.058,990.0,0.456,298.0,3.182075261166413,0.6839449252901645,0.416
361,0,0.28,0.05,0.1,0.2809,0.058,2005.0,1.014,298.0,4.13895690289042,0.74259579055902,0.872
362,0,0.28,0.05,0.1,0.2809,0.058,2162.0,1.124,298.0,4.385070350740688,0.773385457785978,0.917
363,0,0.28,0.05,0.1,0.2809,0.058,2180.0,1.003,298.0,5.736409372500035,0.6850644195652928,0.928
364,0,0.28,0.05,0.1,0.2809,0.058,680.0,0.29,273.0,5.267935450771192,0.4040748079044563,0.27
365,0,0.28,0.05,0.1,0.2809,0.058,680.0,0.29,298.0,3.8691798922935927,0.5050451482564262,0.27
366,0,0.28,0.05,0.1,0.2809,0.058,1274.0,0.46,273.0,7.513596661107388,0.5128991892310342,0.43
367,0,0.28,0.05,0.1,0.2809,0.058,1274.0,0.46,298.0,4.911290499259619,0.6630079109954558,0.43
368,0,0.28,0.05,0.1,0.2809,0.058,334.0,0.14,273.0,3.1510843584773003,0.3644081677252397,0.13
369,0,0.28,0.05,0.1,0.2809,0.058,334.0,0.14,298.0,2.3917835503128546,0.4741392116620111,0.13
370,0,0.28,0.05,0.1,0.2809,0.058,2088.0,0.84,273.0,6.644674220377172,0.6907183078720215,0.71
371,0,0.28,0.05,0.1,0.2809,0.058,2088.0,0.84,298.0,4.240798403645286,0.7261339920709801,0.71
372,0,0.28,0.05,0.1,0.2809,0.058,2282.0,1.06,273.0,5.839132651249655,0.7840075743973166,0.87
373,0,0.28,0.05,0.1,0.2809,0.058,2282.0,1.06,298.0,3.4381342951179743,0.8423378469694691,0.87
384,0,0.28,0.05,0.1,0.2809,0.058,620.0,0.434,273.0,4.117055994391082,0.2255454462849521,0.18
385,0,0.28,0.05,0.1,0.2809,0.058,620.0,0.434,293.0,3.459394923988249,0.2585586297677283,0.18
386,0,0.28,0.05,0.1,0.2809,0.058,620.0,0.434,313.0,2.88769874555907,0.292702243002449,0.18
387,0,0.28,0.05,0.1,0.2809,0.058,620.0,0.434,333.0,2.44883791546934,0.3743249876118722,0.18
388,0,0.28,0.05,0.1,0.2809,0.058,620.0,0.434,353.0,2.006978215175932,0.4352269999044018,0.18
389,0,0.28,0.05,0.1,0.2809,0.058,1005.0,0.5,298.0,1.9967799588148651,0.4415224318803509,0.36
390,0,0.28,0.05,0.1,0.2809,0.058,952.0,0.43,298.0,1.7703842677429986,0.5164730427525148,0.36
391,0,0.28,0.05,0.1,0.2809,0.058,815.0,0.38,298.0,1.6964782062310793,0.5503531914514525,0.3
410,0,0.28,0.05,0.1,0.2809,0.058,322.0,0.25,273.0,2.652097747383185,0.3853993144037696,0.16
411,0,0.28,0.05,0.1,0.2809,0.058,322.0,0.25,298.0,2.0176971048341903,0.442147224583804,0.16
412,0,0.28,0.05,0.1,0.2809,0.058,364.0,0.31,273.0,3.185953280734467,0.4172710120601445,0.094
413,0,0.28,0.05,0.1,0.2809,0.058,364.0,0.31,298.0,2.112340214009012,0.4439076955511792,0.094
414,0,0.28,0.05,0.1,0.2809,0.058,747.0,0.52,273.0,3.475523611605587,0.3908883356954967,0.23
415,0,0.28,0.05,0.1,0.2809,0.058,747.0,0.52,298.0,2.2577005983208145,0.4796239033282657,0.23
416,0,0.28,0.05,0.1,0.2809,0.058,355.0,0.29,273.0,2.251684458290049,0.3437241296262969,0.11
417,0,0.28,0.05,0.1,0.2809,0.058,355.0,0.29,298.0,2.047307297800776,0.4215488842448108,0.11
418,0,0.28,0.05,0.1,0.2809,0.058,1120.0,0.43,273.0,3.743388848571627,0.4920305721589741,0.17
419,0,0.28,0.05,0.1,0.2809,0.058,1120.0,0.43,298.0,2.614214723407202,0.4958951925252574,0.17
420,0,0.28,0.05,0.1,0.2809,0.058,1120.0,0.43,323.0,1.7106377677813394,0.5221587317557671,0.17
421,0,0.28,0.05,0.1,0.2809,0.058,1322.0,0.78,273.0,5.197779946551576,0.5313764846788985,0.23
422,0,0.28,0.05,0.1,0.2809,0.058,1322.0,0.78,298.0,3.386632436768428,0.5537348952951687,0.23
423,0,0.28,0.05,0.1,0.2809,0.058,1322.0,0.78,323.0,2.2816637457030424,0.6056247529144382,0.23
424,0,0.28,0.05,0.1,0.2809,0.058,2510.0,1.05,273.0,5.179798554714016,0.5480727750256864,0.55
425,0,0.28,0.05,0.1,0.2809,0.058,2510.0,1.05,298.0,3.6872445825725935,0.5429804299035601,0.55
426,0,0.28,0.05,0.1,0.2809,0.058,2510.0,1.05,323.0,2.3125886819627235,0.5808766548797113,0.55
427,0,0.28,0.05,0.1,0.2809,0.058,2100.0,0.78,273.0,2.813019950463024,0.284138853234992,0.29
428,0,0.28,0.05,0.1,0.2809,0.058,2100.0,0.78,298.0,2.1428021387516925,0.3145526522865377,0.29
429,0,0.28,0.05,0.1,0.2809,0.058,2100.0,0.78,323.0,1.6707936997011918,0.3693707384794754,0.29
430,0,0.28,0.05,0.1,0.2809,0.058,4196.0,2.26,298.0,3.943769120768215,0.5682120516863062,1.56
431,0,0.28,0.05,0.1,0.2809,0.058,3817.0,2.26,298.0,3.306137890797439,0.5893830355341185,1.41
432,0,0.28,0.05,0.1,0.2809,0.058,3118.0,1.93,298.0,3.476749879363633,0.5709837880387544,1.06
433,0,0.28,0.05,0.1,0.2809,0.058,2721.0,1.63,298.0,4.543552488246689,0.4462620280274141,1.08
434,0,0.28,0.05,0.1,0.2809,0.058,1548.0,0.96,298.0,3.8684501342599513,0.4587396702424454,0.66
441,0,0.28,0.05,0.1,0.2809,0.058,245.0,0.136,298.0,0.9241932815861316,0.5692634859497195,0.086
442,0,0.28,0.05,0.1,0.2809,0.058,898.0,0.428,298.0,3.4385523587304454,0.4891233243643607,0.356
443,0,0.28,0.05,0.1,0.2809,0.058,995.0,0.497,298.0,3.5892133550777374,0.539137312858135,0.39
444,0,0.28,0.05,0.1,0.2809,0.058,888.0,0.428,298.0,2.913055889449828,0.5290919552847347,0.336
468,0,0.28,0.05,0.1,0.2809,0.058,1853.0,0.97,273.0,5.357640173604375,0.7322083436113389,0.85
469,0,0.28,0.05,0.1,0.2809,0.058,2616.0,1.37,273.0,5.495825019599487,0.7911763325054996,1.14
471,0,0.28,0.05,0.1,0.2809,0.058,1105.0,0.58,273.0,4.084745747069228,0.603387381048019,0.5
